"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"DEU","Germany","T","Total","TOTAL","Total","1972","1972",78688450,,
"DEU","Germany","T","Total","TOTAL","Total","1973","1973",78936672,,
"DEU","Germany","T","Total","TOTAL","Total","1974","1974",78967429,,
"DEU","Germany","T","Total","TOTAL","Total","1975","1975",78673555,,
"DEU","Germany","T","Total","TOTAL","Total","1976","1976",78336948,,
"DEU","Germany","T","Total","TOTAL","Total","1977","1977",78159813,,
"DEU","Germany","T","Total","TOTAL","Total","1978","1978",78091821,,
"DEU","Germany","T","Total","TOTAL","Total","1979","1979",78126353,,
"DEU","Germany","T","Total","TOTAL","Total","1980","1980",78288576,,
"DEU","Germany","T","Total","TOTAL","Total","1981","1981",78407904,,
"DEU","Germany","T","Total","TOTAL","Total","1982","1982",78333354,,
"DEU","Germany","T","Total","TOTAL","Total","1983","1983",78128284,,
"DEU","Germany","T","Total","TOTAL","Total","1984","1984",77858682,,
"DEU","Germany","T","Total","TOTAL","Total","1985","1985",77684878,,
"DEU","Germany","T","Total","TOTAL","Total","1986","1986",77720438,,
"DEU","Germany","T","Total","TOTAL","Total","1987","1987",77839920,,
"DEU","Germany","T","Total","TOTAL","Total","1988","1988",78144617,,
"DEU","Germany","T","Total","TOTAL","Total","1989","1989",78751284,,
"DEU","Germany","T","Total","TOTAL","Total","1990","1990",79433034,,
"DEU","Germany","T","Total","TOTAL","Total","1991","1991",80013901,,
"DEU","Germany","T","Total","TOTAL","Total","1992","1992",80624601,,
"DEU","Germany","T","Total","TOTAL","Total","1993","1993",81156368,,
"DEU","Germany","T","Total","TOTAL","Total","1994","1994",81438346,,
"DEU","Germany","T","Total","TOTAL","Total","1995","1995",81678046,,
"DEU","Germany","T","Total","TOTAL","Total","1996","1996",81914834,,
"DEU","Germany","T","Total","TOTAL","Total","1997","1997",82034775,,
"DEU","Germany","T","Total","TOTAL","Total","1998","1998",82047197,,
"DEU","Germany","T","Total","TOTAL","Total","1999","1999",82100243,,
"DEU","Germany","T","Total","TOTAL","Total","2000","2000",82211501,,
"DEU","Germany","T","Total","TOTAL","Total","2001","2001",82349926,,
"DEU","Germany","T","Total","TOTAL","Total","2002","2002",82488493,,
"DEU","Germany","T","Total","TOTAL","Total","2003","2003",82534175,,
"DEU","Germany","T","Total","TOTAL","Total","2004","2004",82516268,,
"DEU","Germany","T","Total","TOTAL","Total","2005","2005",82469421,,
"DEU","Germany","T","Total","TOTAL","Total","2006","2006",82376447,,
"DEU","Germany","T","Total","TOTAL","Total","2007","2007",82266373,,
"DEU","Germany","T","Total","TOTAL","Total","2008","2008",82110097,,
"DEU","Germany","T","Total","TOTAL","Total","2009","2009",81902308,,
"DEU","Germany","T","Total","TOTAL","Total","2010","2010",81776936,,
